R,EXC,S,SEXO,CD1.1A,CD1.1B,CD1.1C,CD1.2A,CD1.2B,CD1.2C,CD1.3A,CD1.3B,CD1.3C,CD1.4A,CD1.4B,CD1.4C,CD1.5A,CD1.5B,CD1.5C,CD1.6A,CD1.6B,CD1.6C,CD1.7A,CD1.7B,CD1.7C,CD1.8A,CD1.8B,CD1.8C,CD1.9A,CD1.9B,CD1.9C,CD1.10A,CD1.10B,CD1.10C,CD4.1A,CD4.1B,CD4.1C,CD4.2A,CD4.2B,CD4.2C,CD4.3A,CD4.3B,CD4.3C,CD4.4A,CD4.4B,CD4.4C,CD4.5A,CD4.5B,CD4.5C,CD4.6A,CD4.6B,CD4.6C,CD4.7A,CD4.7B,CD4.7C,CD4.8A,CD4.8B,CD4.8C,CD4.9A,CD4.9B,CD4.9C,CD4.10A,CD4.10B,CD4.10C,CD8.1A,CD8.1B,CD8.1C,CD8.2A,CD8.2B,CD8.2C,CD8.3A,CD8.3B,CD8.3C,CD8.4A,CD8.4B,CD8.4C,CD8.5A,CD8.5B,CD8.5C,CD8.6A,CD8.6B,CD8.6C,CD8.7A,CD8.7B,CD8.7C,CD8.8A,CD8.8B,CD8.8C,CD8.9A,CD8.9B,CD8.9C,CD8.10A,CD8.10B,CD8.10C,CD12.1A,CD12.1B,CD12.1C,CD12.2A,CD12.2B,CD12.2C,CD12.3A,CD12.3B,CD12.3C,CD12.4A,CD12.4B,CD12.4C,CD12.5A,CD12.5B,CD12.5C,CD12.6A,CD12.6B,CD12.6C,CD12.7A,CD12.7B,CD12.7C,CD12.8A,CD12.8B,CD12.8C,CD12.9A,CD12.9B,CD12.9C,CD12.10A,CD12.10B,CD12.10C,CD18.1A,CD18.1B,CD18.1C,CD18.2A,CD18.2B,CD18.2C,CD18.3A,CD18.3B,CD18.3C,CD18.4A,CD18.4B,CD18.4C,CD18.5A,CD18.5B,CD18.5C,CD18.6A,CD18.6B,CD18.6C,CD18.7A,CD18.7B,CD18.7C,CD18.8A,CD18.8B,CD18.8C,CD18.9A,CD18.9B,CD18.9C,CD18.10A,CD18.10B,CD18.10C,CD24.1A,CD24.1B,CD24.1C,CD24.2A,CD24.2B,CD24.2C,CD24.3A,CD24.3B,CD24.3C,CD24.4A,CD24.4B,CD24.4C,CD24.5A,CD24.5B,CD24.5C,CD24.6A,CD24.6B,CD24.6C,CD24.7A,CD24.7B,CD24.7C,CD24.8A,CD24.8B,CD24.8C,CD24.9A,CD24.9B,CD24.9C,CD24.10A,CD24.10B,CD24.10C,RD1.1A,RD1.1B,RD1.1C,RD1.2A,RD1.2B,RD1.2C,RD4.3A,RD4.3B,RD4.3C,RD8.4A,RD8.4B,RD8.4C,RD8.5A,RD8.5B,RD8.5C,RD12.6A,RD12.6B,RD12.6C,RD12.7A,RD12.7B,RD12.7C,RD18.8A,RD18.8B,RD18.8C,RD18.9A,RD18.9B,RD18.9C,RD24.10A,RD24.10B,RD24.10C
1,144,RAPR,2,,17,50,,17,50,,17,26,17,26,50,17,,26,17,26,50,,17,50,17,26,50,17,26,,17,26,80,,80,135,50,120,135,93,120,135,50,80,135,,80,,93,120,135,50,80,135,80,80,135,,80,,50,80,135,175,211,240,147,,211,140,147,154,147,175,211,135,191,218,175,191,211,147,175,211,175,191,191,147,175,211,,175,246,253,273,349,266,273,349,,211,287,211,232,253,211,218,300,240,246,349,211,273,300,273,330,349,211,232,300,211,260,418,349,390,,315,349,418,349,444,,300,390,,,418,,,418,,,418,,390,,418,315,349,444,,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,58,17,26,80,80,120,140,120,147,211,191,232,253,191,211,253,232,418,390,232,253,390,315,349,390,,418,444
1,22,CGM,2,18,41,,18,24,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,41,,18,24,,,,,,,,,,,,,,,,,,,,,,,,,
1,72,MMHE,1,,18,,,18,,,18,,,18,,,18,,18,,,,18,,,18,,,18,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,
1,87,COAO,1,18,30,64,,18,93,18,30,93,,18,93,,18,30,18,30,64,18,30,64,18,30,64,18,30,64,,18,64,93,106,126,93,126,153,106,126,153,30,106,126,30,106,,106,,126,,106,126,93,119,153,93,106,,93,119,153,181,236,254,,181,236,153,181,254,181,236,254,153,181,221,181,221,254,181,236,254,,181,254,181,254,272,153,221,254,254,380,443,272,443,,272,326,394,272,326,431,272,380,431,,254,431,272,305,361,272,326,380,272,,443,272,361,394,380,431,,,443,600,443,600,,608,,,443,,600,443,,600,380,443,600,380,431,600,,456,651,651,,,,,651,,608,,600,,,,600,651,600,,,,608,651,,600,,,608,,651,,,,,651,18,30,93,30,64,93,93,106,152,106,126,236,181,236,326,236,254,326,254,443,600,305,,,,254,,456,608,
1,94,MLA,2,18,25,38,,18,75,,18,75,,18,75,,18,38,,18,38,,18,75,,18,75,,18,75,,18,38,,75,137,75,137,150,,137,150,75,88,150,,88,,,137,150,,75,137,88,,137,,88,,88,137,,,226,240,,,226,,226,240,184,226,,150,226,,150,184,240,,226,240,,240,,184,,226,184,226,,226,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,75,75,150,,88,137,,226,,,226,240,,226,,,240,,,,,,,,
1,19,CHLMA,1,26,33,,,19,,19,33,83,,19,63,,19,63,19,26,56,,19,83,19,26,63,19,33,63,,19,83,83,97,187,97,137,187,63,97,187,63,137,187,63,137,,,137,,83,137,187,83,,187,,83,,63,97,187,200,249,325,200,249,325,187,200,325,187,249,325,,187,325,187,200,325,187,200,325,187,200,325,187,249,325,187,200,325,325,351,484,325,351,365,325,365,484,,325,435,325,415,559,325,351,435,325,351,415,325,351,484,325,351,559,325,484,559,415,559,607,415,,559,,415,,,586,655,,,559,,559,607,,,559,,,559,559,,655,559,607,,559,737,,,559,,559,,,,635,737,559,675,751,,,751,559,586,,559,737,,586,,,,,,19,56,83,19,33,83,63,137,187,187,,325,,325,354,,325,559,325,,559,354,,559,435,559,737,586,559,
1,119,STCL,2,,19,48,,19,48,,19,48,,19,48,,19,48,,19,48,,19,48,,19,56,,19,48,,19,48,48,157,164,56,90,150,,150,164,48,150,180,48,75,,48,150,157,48,75,150,56,,150,48,56,,56,150,164,186,220,270,180,193,206,164,180,206,164,186,220,180,186,270,164,180,248,180,186,248,180,220,248,193,220,248,186,220,255,275,330,,255,318,330,255,312,,,248,270,255,330,,255,275,376,,270,318,318,351,376,318,351,376,275,351,376,344,376,522,330,359,423,,359,,376,537,,423,480,,433,480,,376,423,433,376,423,480,376,,446,480,639,,480,639,703,480,639,,639,703,812,639,674,703,639,,703,480,,639,,639,,480,639,674,522,691,780,,,691,,19,,,19,48,75,81,220,164,193,,193,248,255,193,248,351,270,351,,337,351,376,,351,376,480,639,812
1,111,GLCG,2,,20,,,20,,,20,,,20,,20,,,20,,,20,,,,20,,,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,ARAE,2,,21,118,,21,64,,21,64,21,30,130,21,30,118,,21,130,,21,64,21,30,118,21,30,64,,21,64,69,159,200,118,159,200,,130,200,,130,200,118,130,,118,,200,,118,200,130,159,213,118,130,,,159,234,200,333,,,234,305,159,213,,159,213,305,130,200,333,159,234,333,200,305,333,234,,333,159,,305,159,234,305,333,434,490,305,344,490,234,344,490,,344,490,,,344,305,344,490,305,,344,344,434,490,305,333,526,333,344,526,434,490,,434,,490,434,584,,584,,,490,566,,490,566,,,566,600,490,,566,490,,566,,566,,566,600,,,566,,566,650,,600,,,566,685,,,584,,566,584,,584,,650,600,,,600,685,,21,64,159,21,64,159,,64,213,,200,234,,,305,,,305,374,,525,434,566,650,490,566,650,525,,650
1,80,BWMA,1,,22,,,22,,,22,,,22,,22,30,,22,30,,,22,,,22,,,22,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,22,,,,,,,,,,,,,,,,,,,,,,,,,
4,103,SLF,1,22,62,101,22,62,97,,22,97,22,62,97,,22,97,22,62,97,,62,97,,22,62,,22,97,,22,62,101,120,139,101,120,139,97,120,146,,97,120,97,101,,97,120,139,,97,139,,97,139,,97,,,97,139,,202,230,175,208,216,139,146,242,146,180,202,139,146,257,152,180,248,152,180,242,,175,242,139,242,269,175,257,269,216,319,,289,338,359,208,269,312,180,202,305,180,269,422,223,257,422,208,257,449,305,,422,269,276,422,248,289,422,312,422,546,338,352,422,269,422,,338,449,513,,449,480,,449,554,,422,526,,,422,338,422,480,,422,513,449,554,615,,422,,546,642,808,449,480,526,480,546,615,526,546,615,526,554,,480,546,615,480,597,808,546,526,,22,62,97,,22,62,101,139,202,139,152,223,175,230,276,202,248,369,248,289,369,269,338,369,289,319,480,,422,630
