R,EXC,S,SEXO,CD1.1A,CD1.1B,CD1.1C,CD1.2A,CD1.2B,CD1.2C,CD1.3A,CD1.3B,CD1.3C,CD1.4A,CD1.4B,CD1.4C,CD1.5A,CD1.5B,CD1.5C,CD1.6A,CD1.6B,CD1.6C,CD1.7A,CD1.7B,CD1.7C,CD1.8A,CD1.8B,CD1.8C,CD1.9A,CD1.9B,CD1.9C,CD1.10A,CD1.10B,CD1.10C,CD4.1A,CD4.1B,CD4.1C,CD4.2A,CD4.2B,CD4.2C,CD4.3A,CD4.3B,CD4.3C,CD4.4A,CD4.4B,CD4.4C,CD4.5A,CD4.5B,CD4.5C,CD4.6A,CD4.6B,CD4.6C,CD4.7A,CD4.7B,CD4.7C,CD4.8A,CD4.8B,CD4.8C,CD4.9A,CD4.9B,CD4.9C,CD4.10A,CD4.10B,CD4.10C,CD8.1A,CD8.1B,CD8.1C,CD8.2A,CD8.2B,CD8.2C,CD8.3A,CD8.3B,CD8.3C,CD8.4A,CD8.4B,CD8.4C,CD8.5A,CD8.5B,CD8.5C,CD8.6A,CD8.6B,CD8.6C,CD8.7A,CD8.7B,CD8.7C,CD8.8A,CD8.8B,CD8.8C,CD8.9A,CD8.9B,CD8.9C,CD8.10A,CD8.10B,CD8.10C,CD12.1A,CD12.1B,CD12.1C,CD12.2A,CD12.2B,CD12.2C,CD12.3A,CD12.3B,CD12.3C,CD12.4A,CD12.4B,CD12.4C,CD12.5A,CD12.5B,CD12.5C,CD12.6A,CD12.6B,CD12.6C,CD12.7A,CD12.7B,CD12.7C,CD12.8A,CD12.8B,CD12.8C,CD12.9A,CD12.9B,CD12.9C,CD12.10A,CD12.10B,CD12.10C,CD18.1A,CD18.1B,CD18.1C,CD18.2A,CD18.2B,CD18.2C,CD18.3A,CD18.3B,CD18.3C,CD18.4A,CD18.4B,CD18.4C,CD18.5A,CD18.5B,CD18.5C,CD18.6A,CD18.6B,CD18.6C,CD18.7A,CD18.7B,CD18.7C,CD18.8A,CD18.8B,CD18.8C,CD18.9A,CD18.9B,CD18.9C,CD18.10A,CD18.10B,CD18.10C,CD24.1A,CD24.1B,CD24.1C,CD24.2A,CD24.2B,CD24.2C,CD24.3A,CD24.3B,CD24.3C,CD24.4A,CD24.4B,CD24.4C,CD24.5A,CD24.5B,CD24.5C,CD24.6A,CD24.6B,CD24.6C,CD24.7A,CD24.7B,CD24.7C,CD24.8A,CD24.8B,CD24.8C,CD24.9A,CD24.9B,CD24.9C,CD24.10A,CD24.10B,CD24.10C,RD1.1A,RD1.1B,RD1.1C,RD1.2A,RD1.2B,RD1.2C,RD4.3A,RD4.3B,RD4.3C,RD8.4A,RD8.4B,RD8.4C,RD8.5A,RD8.5B,RD8.5C,RD12.6A,RD12.6B,RD12.6C,RD12.7A,RD12.7B,RD12.7C,RD18.8A,RD18.8B,RD18.8C,RD18.9A,RD18.9B,RD18.9C,RD24.10A,RD24.10B,RD24.10C
1,97,NLAA,2,23,37,90,,23,90,,23,90,,23,30,,23,90,23,30,90,,23,90,,23,90,,23,,,23,,90,179,,90,,179,,,179,,90,179,90,179,,90,,179,,90,179,90,,179,,90,,,90,,179,,248,,,248,179,248,264,179,,248,179,,248,,179,248,,179,248,179,248,264,179,248,264,179,248,285,264,340,,248,347,,254,264,277,248,264,277,248,264,336,,248,422,,264,298,264,340,347,264,,336,264,277,336,360,422,,340,402,422,340,442,,360,402,491,,336,477,402,436,491,,402,477,,360,402,336,402,614,,360,402,436,516,614,,436,,436,600,614,436,600,614,436,442,692,436,442,614,,436,,436,600,614,436,678,678,,678,719,,30,90,,30,,90,,179,90,179,248,179,,248,179,264,,248,402,,264,402,477,347,402,477,402,436,614
1,104,BMS,2,,24,119,,24,98,,24,98,,24,98,,24,98,24,,98,,24,98,,24,98,,24,98,,24,98,98,119,,,98,,,119,,98,119,,,98,,98,119,,,98,,,98,,,119,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,24,98,,98,,98,,,,,,,,,,,,,,,,,,,,
4,125,EGSD,1,,24,127,,24,114,24,30,114,,24,59,,24,59,,24,59,,24,127,,24,59,,24,59,,24,,,127,,114,127,150,114,119,134,119,127,157,,119,,119,127,141,,114,134,119,127,141,,119,,,119,179,,226,267,150,179,219,150,179,241,150,190,241,157,179,338,150,190,219,150,179,241,190,198,270,150,179,267,,198,338,322,335,404,338,357,424,270,335,375,295,335,,295,322,404,,308,404,270,322,390,322,,390,295,335,404,308,322,404,404,424,523,390,424,471,424,471,,390,480,535,480,,493,,471,493,424,,471,,424,471,,404,523,,404,523,480,523,585,493,523,,510,523,,480,535,627,480,493,720,510,570,641,510,570,,471,607,720,510,607,720,627,641,,,24,127,,24,127,119,127,141,119,,164,226,,338,,226,338,226,,,335,474,493,404,474,493,493,627,720
3,RI 01,GNA,1,,25,93,,25,93,,25,93,,25,93,,25,,25,59,93,,25,93,,25,,,25,,,25,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,224,,224,,,224,,,224,,,,224,,,224,,,224,224,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,59,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,PAEL,1,26,47,123,26,35,123,26,47,123,26,47,123,26,74,123,26,47,123,26,47,123,26,35,60,26,35,60,26,,60,,123,206,,123,206,123,144,206,123,144,206,,123,,123,144,206,123,,144,123,149,206,144,123,,123,,144,,274,324,,,274,206,,274,206,,274,144,,274,144,,274,206,274,291,206,274,324,206,274,324,149,206,274,274,352,510,291,274,324,,274,482,,274,366,,274,366,324,366,482,324,455,482,324,455,482,,,324,324,352,510,366,510,633,366,482,544,366,510,,366,544,633,482,510,633,366,482,,,482,565,,482,565,482,510,565,,510,544,,,544,,544,,544,633,,544,,633,544,633,656,544,565,,,544,,,565,656,544,656,,,633,,26,47,74,26,47,74,74,144,274,144,274,291,,274,324,291,324,510,324,352,510,,450,608,450,510,656,,524,782
1,36,MLK,1,26,,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,,219,,,219,,,219,,,219,,,,,,219,,,219,,,219,,219,,,,219,219,229,266,219,229,266,,219,328,,,219,,,219,,219,328,,219,328,,219,328,,219,328,,219,328,328,363,,328,363,,328,363,,266,328,,266,363,,328,363,,328,363,,328,,,328,384,,328,384,,363,507,596,,507,596,363,596,,507,596,,,507,596,,507,596,,,507,,,507,,507,596,,507,,,596,,,596,,610,,,,596,,,596,,,596,,,596,,507,596,,507,,,,596,,,,,,,,,,,,244,328,244,328,363,244,363,507,266,,507,328,363,,363,507,,507,610,
1,113,OPD,1,,28,61,,28,84,,28,61,,28,35,,28,35,,28,61,,28,68,,28,68,,28,68,,28,61,,97,,97,,,61,,,61,68,,61,84,,89,,,89,,,89,,,89,97,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,68,,28,97,89,97,,89,,,,,,,,,,,,,,,,,,,,
3,142,BAAR,2,28,55,63,,28,91,,28,48,,28,48,28,35,48,28,48,55,28,35,48,,28,48,28,35,48,28,35,97,,91,138,104,123,138,91,104,138,91,104,220,91,104,,91,111,117,,91,123,91,123,138,91,123,,97,123,138,,193,277,,193,207,,193,207,,193,250,193,203,277,138,193,207,138,193,277,193,250,326,193,257,300,193,203,257,326,,,307,,,,300,,235,277,,207,300,,326,,,307,,,307,,,300,,,307,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,63,,28,48,,48,123,55,63,250,117,193,326,,193,203,193,257,,193,257,,,,,,,
3,121,GFAV,2,,29,43,,29,43,,29,57,,29,43,,29,70,,29,70,,29,70,,29,70,,29,77,,29,49,70,85,167,77,99,120,85,,133,77,85,120,77,91,,91,133,140,85,120,133,70,120,167,,70,,85,120,133,173,,250,180,210,222,161,173,243,161,173,243,167,173,243,161,173,243,167,173,210,,173,210,180,188,,,173,,,428,,250,428,479,243,458,,,243,458,243,428,,,428,479,,428,479,428,,458,,428,458,,428,,,428,652,,,458,458,479,,520,540,652,520,540,650,520,,650,,497,607,,428,540,520,561,607,,520,607,650,,794,650,678,,650,,794,,561,780,520,664,794,561,650,794,,607,,540,650,794,561,664,650,607,650,794,29,53,77,29,36,77,77,85,222,140,167,173,210,,,222,,,,,507,458,520,540,,520,711,,678,711
1,130,OBYA,1,,29,91,,29,63,,29,91,,29,63,,29,63,,29,91,,29,63,,29,91,,29,91,,29,91,,103,153,91,103,153,103,,153,73,103,159,73,103,,91,103,153,91,103,110,,91,200,,91,,73,91,186,,200,210,180,200,227,172,180,186,172,186,210,166,186,227,180,186,250,186,210,257,200,257,270,166,250,270,,227,270,299,325,367,270,367,,270,325,,,270,367,270,367,,257,278,539,270,325,539,325,359,416,270,325,,299,325,,416,539,,416,539,,416,539,,539,,,,,,,,,416,539,,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,73,,63,153,73,103,153,,153,159,,227,250,200,227,250,227,367,,,227,367,,367,539,539,,
2,140,GCHS,1,29,49,89,29,44,60,29,111,119,29,,111,29,60,77,,36,,,29,77,,29,77,29,60,111,44,77,,119,115,144,77,115,130,,115,147,111,115,144,115,130,,115,147,154,115,130,147,115,147,171,115,130,,115,147,157,,207,268,,207,226,150,207,226,178,185,259,178,207,235,178,199,259,171,207,259,171,226,310,171,207,310,178,310,,,,,,,,,,310,,310,,226,310,,,310,,,310,,310,,,310,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,60,,29,,,111,,60,77,119,,,,,,310,,,310,,310,,310,,,,,
2,141,GCHL,1,,29,77,29,,77,29,56,63,29,36,60,29,36,60,,29,77,,29,65,29,60,118,,29,111,,29,111,118,152,235,118,115,152,118,115,235,118,115,235,115,130,,115,,154,115,130,235,115,152,235,115,130,,115,147,235,,235,251,235,,310,,235,310,,235,310,,,251,235,,310,235,,310,,235,310,235,,310,235,,310,,,,,,,,310,,,310,,,310,,,310,,,310,,310,,,310,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,29,77,63,118,144,,77,144,226,258,,207,259,310,207,,310,,310,,310,,,,,
1,147,RVAI,1,29,58,90,,29,90,,29,120,,29,90,,29,58,,29,58,,29,58,,29,120,,29,120,,29,120,90,146,207,90,120,207,90,,120,,90,120,,90,,120,,207,,90,207,90,146,207,,90,,90,146,,248,,,,207,248,,207,,,207,248,248,,,,207,248,,248,,,248,,146,207,,,248,,,,,248,,,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,120,,29,146,120,146,,,146,248,,248,,,248,,248,,,,,,,,,,,
1,76,CDA,2,30,57,118,,30,118,,30,118,,30,118,,30,118,,30,118,,30,118,,30,118,,30,118,,30,118,,148,,,118,148,,118,148,,118,148,118,148,,,118,,,,118,,118,,,118,,118,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,118,,57,148,,118,148,118,148,236,,236,388,,236,,236,,,,236,,236,298,,,,
1,79,PHD,1,30,,62,,30,62,30,,44,,30,62,30,40,44,30,40,75,30,40,75,,30,62,,,40,,30,40,62,137,,88,137,,,,,75,137,,75,137,,,88,,,88,137,,75,,40,44,,62,,75,,216,252,,216,,175,216,,175,,252,216,252,,,216,252,,216,,,252,,216,252,,216,,,,344,439,,344,439,,344,439,,344,439,,344,439,,344,439,,344,439,,344,439,344,,439,,344,439,439,,,,439,,439,,,,439,,,,,,540,572,,439,572,,439,572,,439,572,,439,572,,,674,,572,,572,,674,439,572,735,,674,735,,,572,,572,,439,572,674,439,572,735,,674,735,30,40,88,30,40,150,75,150,239,137,,239,,239,273,,273,302,273,,444,,273,398,,,,,,
1,82,GRE,1,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,95,RICU,1,,30,66,,30,,,30,66,,30,66,,30,66,,30,,,30,66,,30,66,,30,,,30,,,,155,,120,155,,120,155,66,120,155,,120,,,120,155,,,155,,,155,,120,,,,155,210,240,257,189,210,257,155,,257,,155,257,155,257,271,,155,257,189,,257,210,,257,189,,257,189,210,257,257,363,,257,363,451,301,363,404,,210,363,257,301,466,210,257,451,257,271,377,257,104,451,257,301,451,301,363,390,363,390,,377,419,555,390,451,,419,610,630,,480,630,466,507,576,,451,507,419,,451,451,,,,466,,480,507,774,,480,,480,,,,507,774,466,675,774,466,723,774,507,569,,507,555,774,630,774,774,507,576,774,,30,122,,30,122,,122,271,,155,257,,257,377,,257,390,257,,390,325,480,610,363,480,507,,451,610
3,134,CHCJ,2,,30,104,,30,104,,30,104,,30,104,,30,104,,30,104,,30,104,,30,124,,30,56,,30,56,111,118,140,104,118,131,,104,131,,104,131,104,111,,,104,161,,104,118,104,131,173,,104,,104,118,173,173,223,262,223,,242,161,223,262,173,187,242,161,207,306,161,173,207,173,223,250,201,223,250,173,223,242,173,242,223,312,338,,250,326,,291,318,,250,318,338,291,326,363,291,338,,,326,,338,,,250,318,,278,330,,363,,,326,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,129,,30,129,,104,156,111,156,161,,250,306,,250,306,262,346,,,306,,,,,,,
1,137,CLOP,1,30,38,87,30,60,79,30,38,72,30,38,87,30,38,60,30,79,87,30,38,93,,30,93,,30,,30,38,,93,157,171,93,114,157,114,,157,114,120,157,93,157,,114,157,,93,114,157,93,171,,114,120,,114,120,157,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,38,,30,60,120,72,87,,114,120,171,,,,,,,,,,,,,,,,,,
4,153,MARN,2,,31,119,,31,63,,31,92,,31,63,,31,63,,31,119,,31,92,31,63,92,,31,,,31,,119,145,,92,119,145,92,119,,92,119,,,119,,119,,145,,119,145,92,145,,92,119,,92,119,,,,,,,,,,,145,,,,173,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,31,63,119,119,,145,,173,,,,,,,,,,,,,,,,,,,
2,156,MERE,2,,32,60,,32,60,,32,60,,32,60,,32,,,32,60,32,60,,32,,60,,32,60,,32,60,,137,,,137,,,137,,,137,,,137,,,137,,,137,,,137,,,137,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,32,137,60,137,,137,,,,,,,,,,,,,,,,,,,,
1,8,FSS,2,,,61,,,61,,,61,,,61,,,61,,,61,,,61,,,61,,,61,,,61,61,123,187,61,123,187,61,123,150,,123,150,61,150,,61,123,150,61,123,150,61,123,150,61,123,,61,123,150,214,,,187,,,187,214,,187,214,,150,,,,187,,150,,214,187,,214,150,214,,214,,,187,,491,,,491,187,,491,214,,491,214,,491,,,491,,,491,,,491,,,491,,,491,491,518,,,491,,,491,,491,,,,491,546,,491,,,491,518,,491,518,491,,,518,,,491,,,491,,,518,,,491,,546,518,,,491,518,,491,518,,491,,,518,,,,,,,,61,,,61,61,150,214,,187,214,,187,496,214,496,510,,496,510,496,510,,496,,,510,,
1,85,LVG,1,,,40,,,67,,,40,,,40,,,34,,,95,,,67,,,67,,,121,,,40,,121,,95,108,,95,108,,,67,,,34,,95,121,,67,108,,,95,,,95,,67,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,95,,108,,108,121,,,,,,,,,,,,,,,,,,,
4,EDC 157,PEMN,2,,34,81,,34,81,,34,81,,34,81,,,34,34,81,131,,34,81,,34,81,,34,81,,34,131,,101,164,81,101,164,81,101,164,,101,164,81,101,,101,,164,,101,164,81,101,164,81,101,,81,101,164,,,,164,,,,164,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,81,,34,131,,101,185,101,164,,,,,,,,,,,,,,,,,,,
1,2,ACHV,1,,,90,,,90,,,90,,,90,,,35,,,62,,,,,,62,,,62,,,62,90,138,159,,90,159,90,124,159,90,124,202,90,124,,90,124,159,90,97,138,90,124,202,90,97,,90,97,202,,,181,,,181,159,181,,202,215,271,,159,271,,202,215,,215,271,202,215,271,202,,346,202,215,346,346,,,,346,,,,346,,,346,346,,,,346,,,346,,346,,,346,,,346,,,,548,623,,548,623,,548,,,548,623,,548,623,,548,623,,548,623,,548,623,,548,623,548,,,623,,,,623,,548,,,548,,,,548,,548,623,,548,623,,623,,,548,,,623,,,,25,97,,25,97,,97,181,138,202,215,202,241,346,,,215,,215,623,,215,623,548,623,,548,,
1,69,GCEE,1,,,44,,,44,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,128,RSIS,2,,38,65,,38,115,,38,115,,38,115,,38,115,,38,115,,38,,,38,,,38,,,38,115,,,,,115,,115,,,115,,,115,,,115,,,115,,,115,,,,115,,115,,,,239,,,239,,,239,,,,239,,239,,,239,,239,,,,239,,239,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,38,115,,115,,,,,,,,,,,,,,,,,,,,,,
2,136,GOPS,1,,38,75,,38,60,38,45,68,,38,68,,38,68,,38,68,,38,68,,38,75,,38,,,38,,,115,144,,115,130,,115,147,,115,147,115,130,,115,147,130,115,130,147,115,147,171,115,130,,115,147,157,,207,268,,207,226,150,207,214,178,185,259,178,207,,178,199,259,171,207,259,171,226,,171,207,,178,209,,,404,,404,,,,404,,,404,,226,404,,,404,,,404,,,,404,,,404,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,144,,38,115,82,114,144,115,130,144,226,268,258,207,259,404,207,404,,,,404,404,,,,,
1,148,APLU,2,,38,66,,38,66,38,66,88,,38,88,,38,88,,38,66,,38,66,,38,66,,38,121,,38,121,88,121,155,88,121,155,,121,155,,88,155,,88,,88,121,155,,88,155,88,121,155,,88,,88,155,,,,,,,,183,,,183,,,155,,,183,,,155,,,183,,,183,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,88,,38,121,88,121,,121,,,184,,,184,,,,,,,,,,,,,,
1,84,EFZ,2,,,79,,,56,,,79,,,42,,,42,,,42,,,79,,,56,,,42,,,42,127,140,181,,105,181,,105,153,56,105,181,56,79,,56,127,153,56,105,153,79,127,181,42,140,,79,105,181,,215,277,,,215,181,215,277,181,,229,181,215,277,181,215,229,181,215,277,181,215,238,181,215,277,181,215,239,277,326,477,238,326,420,277,326,367,277,,326,277,356,465,277,326,420,277,326,388,326,388,420,326,356,402,300,326,420,420,465,580,,420,477,420,544,,420,465,580,465,544,580,465,,541,420,541,544,420,,465,,465,580,420,466,541,,541,648,,541,,541,580,,,541,580,,541,,,541,580,465,541,,,,541,541,,580,,,580,,,42,,,56,,56,105,56,105,153,,215,229,229,326,420,229,420,465,356,420,465,420,539,580,477,541,
1,133,CCT,2,,,85,,,50,,,50,,,50,,,63,,,50,,,43,,,78,,,78,,,78,,92,187,78,126,180,85,110,180,85,126,180,,78,,78,126,180,78,85,180,78,92,180,78,85,,78,85,201,201,217,299,180,187,194,180,187,217,180,187,209,180,,187,,180,187,,180,217,180,194,231,187,217,251,194,224,231,279,342,436,272,286,368,251,266,313,224,237,299,217,313,368,217,237,417,217,231,320,251,299,368,251,266,341,266,320,417,341,368,436,320,341,402,320,341,,341,436,598,417,479,550,368,402,630,341,402,492,,402,417,,417,450,,368,436,550,598,685,550,598,,450,492,720,492,645,738,492,630,741,492,598,659,550,630,,492,569,685,450,598,685,550,738,,,,63,,,73,63,85,110,126,194,217,180,217,272,187,194,251,194,293,436,272,436,436,272,286,475,417,436,738
3,138,NAVA,2,,,90,,,90,,,90,,,90,,,90,,90,112,,,112,,,121,,,112,,,112,112,121,179,90,121,134,112,121,134,90,121,150,90,121,,112,121,171,90,121,134,127,185,199,112,199,,112,121,185,,199,215,171,179,199,171,179,211,171,179,240,179,211,250,179,199,240,179,211,267,,240,310,179,211,310,,211,310,,,,310,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,127,,,127,112,127,250,127,134,150,,211,,199,211,,185,253,,,185,,,,,,,
1,67,SMJ,1,,,115,,,73,,,73,,,46,,,,,,46,,,46,,,46,,,73,,,46,,115,183,73,149,183,,115,189,73,,189,73,115,,115,149,163,73,,115,73,149,163,73,183,,73,,183,,183,313,183,217,299,,183,,,183,299,,183,299,,183,299,,183,299,183,217,299,183,217,313,183,,299,313,,330,299,,330,299,,330,299,420,330,,299,,,299,,,299,,,,330,313,,330,,,,358,420,,350,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,163,46,115,183,73,183,217,183,299,453,,299,467,299,,467,,299,467,,299,467,,467,720
1,68,GMD,2,,,,,,88,,,88,,,46,,,46,,,46,,,88,,,46,,,88,,,88,121,149,185,88,121,149,,121,149,88,121,,121,149,,88,121,149,,88,121,121,149,238,88,121,,88,121,,185,238,,,238,,185,238,,185,238,,185,330,,,238,,238,,300,238,330,,185,330,,,238,,,,300,,,300,392,,330,392,,,,,300,330,,,330,,,,,330,,,300,,,,364,,392,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,121,88,121,238,149,,238,300,,238,,238,364,238,392,528,330,,364,330,,486,510,,528
5,127,OREL,1,,,,,,,,,106,,,106,,,92,,,46,,,46,,,46,,,106,,,106,106,,,42,106,,106,,,92,106,,,92,,92,,,,92,,92,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,106,,46,,106,,,,,,,,,,,,,,,,,,,,,,,
1,81,RPC,2,,,59,,,89,,,59,,,59,,,59,,,59,,,59,,,59,,,,,,59,,137,157,,137,157,,137,157,59,137,157,59,137,,,89,157,59,137,157,59,157,170,,59,,59,137,207,,207,240,,207,218,,207,247,157,240,247,157,203,247,157,207,218,157,203,247,,203,218,,203,218,203,218,,,247,398,247,343,398,,247,398,247,267,398,247,267,398,247,343,495,267,281,418,281,,398,247,,398,267,343,398,398,432,,398,432,,398,432,,411,,,432,,,,432,,398,,432,398,,432,,432,,,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,157,,,137,,157,218,157,206,218,206,218,247,247,495,,267,432,,,495,,,,
1,3,PQCE,2,,,,,,52,,,52,,,52,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,,,,268,,,,,,,,,,,,,,
1,86,LMM,2,,,57,,,57,,,99,,,57,,,57,,,57,,,57,,,57,,,113,,,99,113,,146,99,,176,99,,202,57,,202,57,,,99,,146,99,,146,57,,176,,99,,57,,232,216,,298,216,,291,176,216,,216,223,291,216,232,,176,223,291,223,298,,223,232,291,202,232,291,176,232,298,291,381,452,291,361,395,291,361,381,,291,395,298,381,420,,291,452,,,361,298,381,420,291,395,452,312,361,452,420,,485,420,452,,420,485,,,452,466,,,452,,452,485,,452,466,452,,485,466,,485,466,485,,,,,,,,485,,,485,,,485,,,485,,,,485,,485,,,485,,,485,,,,,99,,,99,,113,298,,176,298,305,,361,298,,361,361,452,,381,452,,361,420,466,,466,655
5,139,CRSA,1,,,87,,,,,,61,,,61,,,61,,,,,,61,,,61,,,,,,61,,,,61,95,,,61,,61,87,,61,,,,,,87,,,,95,,87,95,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,61,,,95,,,,,,,,,,,,,,,,,,,
1,43,VNA,1,,,,,,62,,,,,,62,,,62,,,62,,,62,,62,,,,62,,,62,,,,62,,,,,,,,,,,,,,,62,,,62,,,,,,,,,,,,,,,,220,,,220,,220,,,,220,,,220,,220,,,220,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,268,,220,268,,268,,,,,,,,,,,,,,
1,124,JCLN,2,,,158,,,,,,158,,,91,,,158,,,158,,,91,,,91,,,158,,,158,,,158,62,158,,,62,,62,91,158,,91,,62,91,158,,62,158,91,,158,62,158,,62,,,158,,,,,,,158,,,158,,158,,,158,,,158,,,158,,,158,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,91,,,,,,,,,,,,,,,,,,,,,,,,
